elof_vals	prophi_vals	logprob	prob
12.5	2	-103.585903502242	1.03089327378056e-45
12.75	2	-102.947834858706	1.95129709043283e-45
13	2	-103.261823557931	1.42547576304272e-45
13.25	2	-103.385731949668	1.25935191449696e-45
13.5	2	-103.466049909342	1.16215875975197e-45
13.75	2	-103.868928689042	7.76778916143443e-46
14	2	-104.323533772796	4.93020468244433e-46
14.25	2	-104.182862659696	5.67489248622778e-46
14.5	2	-103.794567528571	8.36742967188987e-46
14.75	2	-103.81426408542	8.2042326038958e-46
15	2	-103.455428197678	1.17456866555237e-45
15.25	2	-103.996223559195	6.83933646256004e-46
15.5	2	-103.841943878622	7.98025526546839e-46
15.75	2	-104.749187545369	3.22111229248595e-46
16	2	-103.43637269813	1.1971652692598e-45
16.25	2	-103.088853944495	1.6946483229793e-45
16.5	2	-104.678828773728	3.455908946162e-46
16.75	2	-103.421996972837	1.21449968718671e-45
17	2	-103.517369253289	1.10402206210212e-45
17.25	2	-103.404301622173	1.23618195694729e-45
17.5	2	-102.642705180828	2.64752172391283e-45
17.75	2	-103.201079308094	1.51474919384237e-45
18	2	-103.313379843024	1.35384587918556e-45
18.25	2	-102.705093604621	2.48739401003278e-45
18.5	2	-103.065755351344	1.7342479017406e-45
18.75	2	-102.781849226058	2.3036157613408e-45
19	2	-103.409234318024	1.23009926171334e-45
19.25	2	-103.436908640004	1.19652383016474e-45
19.5	2	-102.616536701563	2.71771779775256e-45
19.75	2	-103.683488034251	9.3504665782767e-46
20	2	-103.602084311091	1.01434681532714e-45
20.25	2	-103.603773289209	1.01263505172429e-45
20.5	2	-103.49337836824	1.13082880145186e-45
20.75	2	-103.101318364002	1.67365661188598e-45
21	2	-104.166560041736	5.76816632848719e-46
21.25	2	-104.287021146772	5.11354617352855e-46
21.5	2	-104.188265870129	5.64431253728554e-46
21.75	2	-102.813175593969	2.23257045210179e-45
22	2	-103.417819711604	1.21958358063086e-45
22.25	2	-104.518037233374	4.05875811717278e-46
22.5	2	-104.474372732336	4.23990789186114e-46
22.75	2	-103.540401382137	1.07888467867091e-45
23	2	-102.018597220193	4.94181150075326e-45
23.25	2	-103.263218067195	1.42348930927252e-45
23.5	2	-103.251677653712	1.44001212115338e-45
23.75	2	-101.958541243497	5.24768979775218e-45
24	2	-103.513319198455	1.10850247883393e-45
24.25	2	-102.898976492529	2.04900168621776e-45
24.5	2	-102.859952435611	2.13054272795364e-45
24.75	2	-102.246909164536	3.93306893329876e-45
25	2	-102.956268883706	1.93490900788347e-45
0	51	-103.957775258823	7.10741793983848e-46
0.25	51	-103.718688634977	9.02705015805888e-46
0.5	51	-102.737053403334	2.40915432009858e-45
0.75	51	-103.850460386077	7.91257994971723e-46
1	51	-104.326546587078	4.91537324476938e-46
1.25	51	-104.370400287554	4.7044740910145e-46
1.5	51	-103.256209288451	1.43350127572936e-45
1.75	51	-103.022930785672	1.8101295169804e-45
2	51	-103.810342461023	8.23646969218829e-46
2.25	51	-101.952179990169	5.28117808274916e-45
2.5	51	-101.818551137003	6.03622035920908e-45
2.75	51	-101.931447654142	5.39181212970695e-45
3	51	-101.300250054371	1.01358549279409e-44
3.25	51	-100.904208178134	1.50611865371844e-44
3.5	51	-101.483349114993	8.439981103968e-45
3.75	51	-101.284835974669	1.02933001227145e-44
4	51	-100.847473489428	1.59403829143517e-44
4.25	51	-99.9064028332128	4.08507978170037e-44
4.5	51	-99.6461065679194	5.29963274000599e-44
4.75	51	-99.5430693611427	5.87481594245312e-44
5	51	-99.645277962425	5.30402586464472e-44
5.25	51	-98.8577555656739	1.16579520442253e-43
5.5	51	-98.2043526157827	2.24074048065539e-43
5.75	51	-98.1118478549327	2.45790938176702e-43
6	51	-98.2961538853119	2.04419713509496e-43
6.25	51	-97.3149322673343	5.45333163681883e-43
6.5	51	-97.5469901347511	4.32394795758257e-43
6.75	51	-96.7566924660099	9.53020789986559e-43
7	51	-96.5459828628872	1.17655543054721e-42
7.25	51	-96.0390887833937	1.95323138651763e-42
7.5	51	-96.0031587344248	2.02468710247887e-42
