gene_id	ensembl_gene_id	ensembl_gene_version	symbol	hgnc_id
ENSG00000116984.15	ENSG00000116984	15	MTR	HGNC:7468
ENSG00000077522.15	ENSG00000077522	15	ACTN2	HGNC:164
ENSG00000119285.11	ENSG00000119285	11	HEATR1	HGNC:25517
ENSG00000116977.19	ENSG00000116977	19	LGALS8	HGNC:6569
ENSG00000186197.15	ENSG00000186197	15	EDARADD	HGNC:14341
ENSG00000086619.15	ENSG00000086619	15	ERO1B	HGNC:14355
ENSG00000077585.14	ENSG00000077585	14	GPR137B	HGNC:11862
ENSG00000116962.15	ENSG00000116962	15	NID1	HGNC:7821
ENSG00000143669.16	ENSG00000143669	16	LYST	HGNC:1968
ENSG00000168243.11	ENSG00000168243	11	GNG4	HGNC:4407
ENSG00000162885.14	ENSG00000162885	14	B3GALNT2	HGNC:28596
ENSG00000284770.2	ENSG00000284770	2	TBCE	HGNC:11582
ENSG00000152904.11	ENSG00000152904	11	GGPS1	HGNC:4249
ENSG00000054267.22	ENSG00000054267	22	ARID4B	HGNC:15550
ENSG00000188739.15	ENSG00000188739	15	RBM34	HGNC:28965
ENSG00000173726.11	ENSG00000173726	11	TOMM20	HGNC:20947
ENSG00000168264.11	ENSG00000168264	11	IRF2BP2	HGNC:21729
ENSG00000059588.10	ENSG00000059588	10	TARBP1	HGNC:11568
ENSG00000168275.16	ENSG00000168275	16	COA6	HGNC:18025
ENSG00000183780.13	ENSG00000183780	13	SLC35F3	HGNC:23616
ENSG00000135750.15	ENSG00000135750	15	KCNK1	HGNC:6272
ENSG00000143674.11	ENSG00000143674	11	MAP3K21	HGNC:29798
ENSG00000135749.19	ENSG00000135749	19	PCNX2	HGNC:8736
ENSG00000135778.12	ENSG00000135778	12	NTPCR	HGNC:28204
ENSG00000212916.6	ENSG00000212916	6	MAP10	HGNC:29265
ENSG00000116991.12	ENSG00000116991	12	SIPA1L2	HGNC:23800
ENSG00000162946.23	ENSG00000162946	23	DISC1	HGNC:2888
ENSG00000116918.15	ENSG00000116918	15	TSNAX	HGNC:12380
ENSG00000135766.9	ENSG00000135766	9	EGLN1	HGNC:1232
ENSG00000010072.16	ENSG00000010072	16	SPRTN	HGNC:25356
ENSG00000116903.7	ENSG00000116903	7	EXOC8	HGNC:24659
ENSG00000116906.13	ENSG00000116906	13	GNPAT	HGNC:4416
ENSG00000143633.13	ENSG00000143633	13	C1orf131	HGNC:25332
ENSG00000119283.16	ENSG00000119283	16	TRIM67	HGNC:31859
ENSG00000182118.8	ENSG00000182118	8	FAM89A	HGNC:25057
ENSG00000173409.14	ENSG00000173409	14	ARV1	HGNC:29561
ENSG00000143643.13	ENSG00000143643	13	TTC13	HGNC:26204
ENSG00000119280.17	ENSG00000119280	17	C1orf198	HGNC:25900
ENSG00000135773.13	ENSG00000135773	13	CAPN9	HGNC:1486
ENSG00000135744.9	ENSG00000135744	9	AGT	HGNC:333
ENSG00000135775.14	ENSG00000135775	14	COG2	HGNC:6546
ENSG00000177614.11	ENSG00000177614	11	PGBD5	HGNC:19405
ENSG00000143641.10	ENSG00000143641	10	GALNT2	HGNC:4124
ENSG00000135763.10	ENSG00000135763	10	URB2	HGNC:28967
ENSG00000135801.11	ENSG00000135801	11	TAF5L	HGNC:17304
ENSG00000135776.5	ENSG00000135776	5	ABCB10	HGNC:41
ENSG00000069248.12	ENSG00000069248	12	NUP133	HGNC:18016
ENSG00000143632.15	ENSG00000143632	15	ACTA1	HGNC:129
ENSG00000154429.11	ENSG00000154429	11	CCSAP	HGNC:29578
ENSG00000168118.12	ENSG00000168118	12	RAB4A	HGNC:9781
ENSG00000116574.6	ENSG00000116574	6	RHOU	HGNC:17794
ENSG00000168159.15	ENSG00000168159	15	RNF187	HGNC:27146
ENSG00000196890.5	ENSG00000196890	5	H2BU1	HGNC:20514
ENSG00000181218.6	ENSG00000181218	6	H2AW	HGNC:20507
ENSG00000168148.4	ENSG00000168148	4	H3-4	HGNC:4778
ENSG00000162931.12	ENSG00000162931	12	TRIM17	HGNC:13430
ENSG00000154370.16	ENSG00000154370	16	TRIM11	HGNC:16281
ENSG00000154358.23	ENSG00000154358	23	OBSCN	HGNC:15719
ENSG00000181873.13	ENSG00000181873	13	IBA57	HGNC:27302
ENSG00000198835.4	ENSG00000198835	4	GJC2	HGNC:17494
ENSG00000143774.17	ENSG00000143774	17	GUK1	HGNC:4693
ENSG00000162910.19	ENSG00000162910	19	MRPL55	HGNC:16686
ENSG00000143793.13	ENSG00000143793	13	C1orf35	HGNC:19032
ENSG00000143761.17	ENSG00000143761	17	ARF1	HGNC:652
ENSG00000154342.6	ENSG00000154342	6	WNT3A	HGNC:15983
ENSG00000143816.8	ENSG00000143816	8	WNT9A	HGNC:12778
ENSG00000185888.6	ENSG00000185888	6	PRSS38	HGNC:29625
ENSG00000143740.15	ENSG00000143740	15	SNAP47	HGNC:30669
ENSG00000081692.13	ENSG00000081692	13	JMJD4	HGNC:25724
ENSG00000181450.18	ENSG00000181450	18	ZNF678	HGNC:28652
ENSG00000143776.20	ENSG00000143776	20	CDC42BPA	HGNC:1737
ENSG00000163050.18	ENSG00000163050	18	COQ8A	HGNC:16812
ENSG00000143801.18	ENSG00000143801	18	PSEN2	HGNC:9509
ENSG00000143772.11	ENSG00000143772	11	ITPKB	HGNC:6179
ENSG00000203685.11	ENSG00000203685	11	STUM	HGNC:30491
ENSG00000143799.14	ENSG00000143799	14	PARP1	HGNC:270
ENSG00000183814.16	ENSG00000183814	16	LIN9	HGNC:30830
ENSG00000185155.12	ENSG00000185155	12	MIXL1	HGNC:13363
ENSG00000182827.9	ENSG00000182827	9	ACBD3	HGNC:15453
ENSG00000163041.13	ENSG00000163041	13	H3-3A	HGNC:4764
ENSG00000143751.10	ENSG00000143751	10	SDE2	HGNC:26643
ENSG00000143768.13	ENSG00000143768	13	LEFTY2	HGNC:3122
ENSG00000143811.20	ENSG00000143811	20	PYCR2	HGNC:30262
ENSG00000243709.1	ENSG00000243709	1	LEFTY1	HGNC:6552
ENSG00000196187.12	ENSG00000196187	12	TMEM63A	HGNC:29118
ENSG00000143819.13	ENSG00000143819	13	EPHX1	HGNC:3401
ENSG00000143742.14	ENSG00000143742	14	SRP9	HGNC:11304
ENSG00000154380.19	ENSG00000154380	19	ENAH	HGNC:18271
ENSG00000143815.15	ENSG00000143815	15	LBR	HGNC:6518
ENSG00000185842.16	ENSG00000185842	16	DNAH14	HGNC:2945
ENSG00000143786.8	ENSG00000143786	8	CNIH3	HGNC:26802
ENSG00000162923.17	ENSG00000162923	17	WDR26	HGNC:21208
ENSG00000143771.12	ENSG00000143771	12	CNIH4	HGNC:25013
ENSG00000143748.18	ENSG00000143748	18	NVL	HGNC:8070
ENSG00000143753.13	ENSG00000143753	13	DEGS1	HGNC:13709
ENSG00000143756.12	ENSG00000143756	12	FBXO28	HGNC:29046
ENSG00000143514.18	ENSG00000143514	18	TP53BP2	HGNC:12000
ENSG00000162909.18	ENSG00000162909	18	CAPN2	HGNC:1479
ENSG00000203697.12	ENSG00000203697	12	CAPN8	HGNC:1485
ENSG00000178395.7	ENSG00000178395	7	CCDC185	HGNC:26654
ENSG00000143502.16	ENSG00000143502	16	SUSD4	HGNC:25470
ENSG00000187554.14	ENSG00000187554	14	TLR5	HGNC:11851
ENSG00000154309.9	ENSG00000154309	9	DISP1	HGNC:19711
ENSG00000197520.11	ENSG00000197520	11	FAM177B	HGNC:34395
ENSG00000162819.12	ENSG00000162819	12	BROX	HGNC:26512
ENSG00000186063.13	ENSG00000186063	13	AIDA	HGNC:25761
ENSG00000154305.18	ENSG00000154305	18	MIA3	HGNC:24008
ENSG00000143498.18	ENSG00000143498	18	TAF1A	HGNC:11532
ENSG00000143512.13	ENSG00000143512	13	HHIPL2	HGNC:25842
ENSG00000143507.18	ENSG00000143507	18	DUSP10	HGNC:3065
ENSG00000136630.13	ENSG00000136630	13	HLX	HGNC:4978
ENSG00000186205.14	ENSG00000186205	14	MTARC1	HGNC:26189
ENSG00000117791.16	ENSG00000117791	16	MTARC2	HGNC:26064
ENSG00000162817.7	ENSG00000162817	7	C1orf115	HGNC:25873
ENSG00000116141.17	ENSG00000116141	17	MARK1	HGNC:6896
ENSG00000118873.17	ENSG00000118873	17	RAB3GAP2	HGNC:17168
ENSG00000067704.10	ENSG00000067704	10	IARS2	HGNC:29685
ENSG00000162813.18	ENSG00000162813	18	BPNT1	HGNC:1096
ENSG00000136628.18	ENSG00000136628	18	EPRS1	HGNC:3418
ENSG00000196660.12	ENSG00000196660	12	SLC30A10	HGNC:25355
ENSG00000215817.9	ENSG00000215817	9	ZC3H11B	HGNC:25659
ENSG00000143353.12	ENSG00000143353	12	LYPLAL1	HGNC:20440
ENSG00000092969.12	ENSG00000092969	12	TGFB2	HGNC:11768
ENSG00000067533.6	ENSG00000067533	6	RRP15	HGNC:24255
ENSG00000162814.11	ENSG00000162814	11	SPATA17	HGNC:25184
ENSG00000092978.11	ENSG00000092978	11	GPATCH2	HGNC:25499
ENSG00000196482.18	ENSG00000196482	18	ESRRG	HGNC:3474
ENSG00000042781.14	ENSG00000042781	14	USH2A	HGNC:12601
ENSG00000136636.13	ENSG00000136636	13	KCTD3	HGNC:21305
ENSG00000082482.14	ENSG00000082482	14	KCNK2	HGNC:6277
ENSG00000117724.14	ENSG00000117724	14	CENPF	HGNC:1857
ENSG00000152104.12	ENSG00000152104	12	PTPN14	HGNC:9647
ENSG00000143499.14	ENSG00000143499	14	SMYD2	HGNC:20982
ENSG00000117707.16	ENSG00000117707	16	PROX1	HGNC:9459
ENSG00000136643.12	ENSG00000136643	12	RPS6KC1	HGNC:10439
ENSG00000174606.14	ENSG00000174606	14	ANGEL2	HGNC:30534
ENSG00000143494.16	ENSG00000143494	16	VASH2	HGNC:25723
ENSG00000162769.13	ENSG00000162769	13	FLVCR1	HGNC:24682
ENSG00000185523.6	ENSG00000185523	6	SPATA45	HGNC:33709
ENSG00000203705.11	ENSG00000203705	11	TATDN3	HGNC:27010
ENSG00000117697.15	ENSG00000117697	15	NSL1	HGNC:24548
ENSG00000123685.9	ENSG00000123685	9	BATF3	HGNC:28915
ENSG00000162771.8	ENSG00000162771	8	GARIN4	HGNC:26541
ENSG00000162772.17	ENSG00000162772	17	ATF3	HGNC:785
ENSG00000117691.10	ENSG00000117691	10	NENF	HGNC:30384
ENSG00000065600.13	ENSG00000065600	13	PACC1	HGNC:25593
ENSG00000066027.12	ENSG00000066027	12	PPP2R5A	HGNC:9309
ENSG00000143476.18	ENSG00000143476	18	DTL	HGNC:30288
ENSG00000143493.13	ENSG00000143493	13	INTS7	HGNC:24484
ENSG00000123684.13	ENSG00000123684	13	LPGAT1	HGNC:28985
ENSG00000117650.13	ENSG00000117650	13	NEK2	HGNC:7745
ENSG00000170385.10	ENSG00000170385	10	SLC30A1	HGNC:11012
ENSG00000198570.7	ENSG00000198570	7	RD3	HGNC:19689
ENSG00000082512.15	ENSG00000082512	15	TRAF5	HGNC:12035
ENSG00000117625.14	ENSG00000117625	14	RCOR3	HGNC:25594
ENSG00000143473.13	ENSG00000143473	13	KCNH1	HGNC:6250
ENSG00000054392.13	ENSG00000054392	13	HHAT	HGNC:18270
ENSG00000082497.12	ENSG00000082497	12	SERTAD4	HGNC:25236
ENSG00000143469.21	ENSG00000143469	21	SYT14	HGNC:23143
ENSG00000117597.18	ENSG00000117597	18	UTP25	HGNC:28440
ENSG00000117595.13	ENSG00000117595	13	IRF6	HGNC:6121
ENSG00000162757.4	ENSG00000162757	4	C1orf74	HGNC:26319
ENSG00000009790.15	ENSG00000009790	15	TRAF3IP3	HGNC:30766
ENSG00000117594.10	ENSG00000117594	10	HSD11B1	HGNC:5208
ENSG00000123689.6	ENSG00000123689	6	G0S2	HGNC:30229
ENSG00000196878.15	ENSG00000196878	15	LAMB3	HGNC:6490
ENSG00000008118.10	ENSG00000008118	10	CAMK1G	HGNC:14585
ENSG00000076356.7	ENSG00000076356	7	PLXNA2	HGNC:9100
ENSG00000174059.17	ENSG00000174059	17	CD34	HGNC:1662
ENSG00000117335.21	ENSG00000117335	21	CD46	HGNC:6953
ENSG00000197721.17	ENSG00000197721	17	CR1L	HGNC:2335
ENSG00000203710.12	ENSG00000203710	12	CR1	HGNC:2334
ENSG00000117322.19	ENSG00000117322	19	CR2	HGNC:2336
ENSG00000196352.18	ENSG00000196352	18	CD55	HGNC:2665
ENSG00000123838.11	ENSG00000123838	11	C4BPA	HGNC:1325
ENSG00000123843.13	ENSG00000123843	13	C4BPB	HGNC:1328
ENSG00000123836.15	ENSG00000123836	15	PFKFB2	HGNC:8873
